Дата;Тип документа;Дата документа;Номер документа;Счет-фактура;;;Дебет;Кредит;Дебет;Кредит
02.11.2021;Платеж;02.11.2021;77938;;;;1811806,79;0;0;1811806,79
09.11.2021;Платеж;09.11.2021;78995;;;;904428,12;0;0;904428,12
09.11.2021;Платеж;09.11.2021;78996;;;;13189,34;0;0;13189,34
09.11.2021;Платеж;09.11.2021;78997;;;;13189,34;0;0;13189,34
09.11.2021;Платеж;09.11.2021;78998;;;;24313;0;0;24313
09.11.2021;Платеж;09.11.2021;78999;;;;4738,74;0;0;4738,74
09.11.2021;Платеж;09.11.2021;79001;;;;24313;0;0;24313
10.11.2021;Накладная;10.11.2021;СФ1-0593703 УПД;СФ1-0593703;;;0;306424,71;306424,71;0
11.11.2021;Платеж;11.11.2021;80054;;;;2500000;0;0;2500000
16.11.2021;Платеж;16.11.2021;81504;;;;1000000;0;0;1000000
19.11.2021;Платеж;19.11.2021;82166;;;;3000000;0;0;3000000
23.11.2021;Платеж;23.11.2021;82337;;;;1740659,98;0;0;1740659,98
25.11.2021;Платеж;25.11.2021;84274;;;;581005,15;0;0;581005,15
25.11.2021;Платеж;25.11.2021;84275;;;;629744,18;0;0;629744,18
25.11.2021;Платеж;25.11.2021;84276;;;;366392,06;0;0;366392,06
01.12.2021;Платеж;01.12.2021;85462;;;;332575,19;0;0;332575,19
01.12.2021;Платеж;01.12.2021;85463;;;;331444,84;0;0;331444,84
01.12.2021;Платеж;01.12.2021;85464;;;;340335;0;0;340335
01.12.2021;Платеж;01.12.2021;85465;;;;342696,46;0;0;342696,46
01.12.2021;Кредит-нота;16.04.2021;СФ1-0521850 УПД (кор;;;;0;-8168;-8168;0
01.12.2021;Накладная;20.09.2021;СФ1-0577989 УПД;СФ1-0577989;;;0;8973,27;8973,27;0
01.12.2021;Накладная;21.09.2021;СФ1-0578853 УПД;СФ1-0578853;;;0;29018,74;29018,74;0
01.12.2021;Накладная;23.09.2021;СФ1-0579732 УПД;СФ1-0579732;;;0;426279;426279;0
01.12.2021;Накладная;08.11.2021;СФ1-0592806 УПД;СФ1-0592806;;;0;13755,18;13755,18;0
01.12.2021;Накладная;09.11.2021;СФ1-0593173 УПД;СФ1-0593173;;;0;368853,72;368853,72;0
01.12.2021;Накладная;09.11.2021;СФ1-0593413 УПД;СФ1-0593413;;;0;175097,87;175097,87;0
01.12.2021;Накладная;09.11.2021;СФ1-0593414 УПД;СФ1-0593414;;;0;281723,49;281723,49;0
01.12.2021;Накладная;09.11.2021;СФ1-0593415 УПД;СФ1-0593415;;;0;381566,8;381566,8;0
01.12.2021;Накладная;09.11.2021;СФ1-0593431 УПД;СФ1-0593431;;;0;2073311,5;2073311,5;0
01.12.2021;Накладная;10.11.2021;СФ1-0593694 УПД;СФ1-0593694;;;0;27441,9;27441,9;0
01.12.2021;Накладная;10.11.2021;СФ1-0593707 УПД;СФ1-0593707;;;0;31754,6;31754,6;0
01.12.2021;Накладная;10.11.2021;СФ1-0593822 УПД;СФ1-0593822;;;0;63752;63752;0
01.12.2021;Накладная;11.11.2021;СФ1-0594198 УПД;СФ1-0594198;;;0;149275,16;149275,16;0
01.12.2021;Накладная;11.11.2021;СФ1-0594202 УПД;СФ1-0594202;;;0;383647;383647;0
01.12.2021;Накладная;12.11.2021;СФ1-0594547 УПД;СФ1-0594547;;;0;306721,59;306721,59;0
01.12.2021;Накладная;12.11.2021;СФ1-0594586 УПД;СФ1-0594586;;;0;314814,53;314814,53;0
01.12.2021;Накладная;15.11.2021;СФ1-0594652 УПД;СФ1-0594652;;;0;343218,1;343218,1;0
01.12.2021;Накладная;15.11.2021;СФ1-0594660 УПД;СФ1-0594660;;;0;37913,69;37913,69;0
01.12.2021;Накладная;15.11.2021;СФ1-0594714 УПД;СФ1-0594714;;;0;158056,97;158056,97;0
01.12.2021;Накладная;15.11.2021;СФ1-0594717 УПД;СФ1-0594717;;;0;16120,02;16120,02;0
01.12.2021;Накладная;15.11.2021;СФ1-0594719 УПД;СФ1-0594719;;;0;286123,62;286123,62;0
01.12.2021;Накладная;16.11.2021;СФ1-0595151 УПД;СФ1-0595151;;;0;1095,12;1095,12;0
01.12.2021;Накладная;16.11.2021;СФ1-0595235 УПД;СФ1-0595235;;;0;29942,56;29942,56;0
01.12.2021;Накладная;17.11.2021;СФ1-0595990 УПД;СФ1-0595990;;;0;388660,92;388660,92;0
01.12.2021;Накладная;22.11.2021;СФ1-0597082 УПД;СФ1-0597082;;;0;174738,21;174738,21;0
01.12.2021;Накладная;22.11.2021;СФ1-0597085 УПД;СФ1-0597085;;;0;12267,34;12267,34;0
01.12.2021;Накладная;22.11.2021;СФ1-0597088 УПД;СФ1-0597088;;;0;305357,45;305357,45;0
01.12.2021;Накладная;22.11.2021;СФ1-0597091 УПД;СФ1-0597091;;;0;392751,17;392751,17;0
01.12.2021;Накладная;23.11.2021;СФ1-0597338 УПД;СФ1-0597338;;;0;697389,63;697389,63;0
01.12.2021;Накладная;23.11.2021;СФ1-0597747 УПД;СФ1-0597747;;;0;400001,82;400001,82;0
01.12.2021;Накладная;23.11.2021;СФ1-0597751 УПД;СФ1-0597751;;;0;161018,52;161018,52;0
01.12.2021;Накладная;23.11.2021;СФ1-0597753 УПД;СФ1-0597753;;;0;30079,4;30079,4;0
01.12.2021;Накладная;23.11.2021;СФ1-0597754 УПД;СФ1-0597754;;;0;185163,12;185163,12;0
01.12.2021;Накладная;24.11.2021;СФ1-0598284 УПД;СФ1-0598284;;;0;322209,24;322209,24;0
01.12.2021;Накладная;24.11.2021;СФ1-0598612 УПД;СФ1-0598612;;;0;371800,99;371800,99;0
01.12.2021;Накладная;25.11.2021;СФ1-0598700 УПД;СФ1-0598700;;;0;1771225,99;1771225,99;0
01.12.2021;Накладная;26.11.2021;СФ1-0598843 УПД;СФ1-0598843;;;0;185349,16;185349,16;0
01.12.2021;Накладная;26.11.2021;СФ1-0598893 УПД;СФ1-0598893;;;0;371063,34;371063,34;0
01.12.2021;Накладная;26.11.2021;СФ1-0598970 УПД;СФ1-0598970;;;0;131236,76;131236,76;0
01.12.2021;Накладная;26.11.2021;СФ1-0599041 УПД;СФ1-0599041;;;0;171265,46;171265,46;0
01.12.2021;Накладная;26.11.2021;СФ1-0599043 УПД;СФ1-0599043;;;0;49395,18;49395,18;0
01.12.2021;Накладная;26.11.2021;СФ1-0599046 УПД;СФ1-0599046;;;0;239039,78;239039,78;0
01.12.2021;Накладная;29.11.2021;СФ1-0599184 УПД;СФ1-0599184;;;0;342196,44;342196,44;0
01.12.2021;Накладная;29.11.2021;СФ1-0599296 УПД;СФ1-0599296;;;0;404010,1;404010,1;0
01.12.2021;Накладная;29.11.2021;СФ1-0599545 УПД;СФ1-0599545;;;0;156227,9;156227,9;0
01.12.2021;Накладная;29.11.2021;СФ1-0599546 УПД;СФ1-0599546;;;0;11791,54;11791,54;0
01.12.2021;Накладная;29.11.2021;СФ1-0599551 УПД;СФ1-0599551;;;0;395007,86;395007,86;0
01.12.2021;Накладная;29.11.2021;СФ1-0599554 УПД;СФ1-0599554;;;0;404305,62;404305,62;0
01.12.2021;Накладная;30.11.2021;СФ1-0599962 УПД;СФ1-0599962;;;0;401698,5;401698,5;0
01.12.2021;Накладная;30.11.2021;СФ1-0599970 УПД;СФ1-0599970;;;0;32919,24;32919,24;0
01.12.2021;Накладная;30.11.2021;СФ1-0599972 УПД;СФ1-0599972;;;0;335699,37;335699,37;0
01.12.2021;Накладная;30.11.2021;СФ1-0600031 УПД;СФ1-0600031;;;0;176389,46;176389,46;0
01.12.2021;Накладная;01.11.2021;СФ1-0600357 УПД;СФ1-0600357;;;0;785034,41;785034,41;0
01.12.2021;Накладная;01.11.2021;СФ1-0600359 УПД;СФ1-0600359;;;0;782891,07;782891,07;0
01.12.2021;Накладная;01.11.2021;СФ1-0600360 УПД;СФ1-0600360;;;0;766866,64;766866,64;0
01.12.2021;Накладная;01.11.2021;СФ1-0600361 УПД;СФ1-0600361;;;0;774553,81;774553,81;0
01.12.2021;Накладная;01.11.2021;СФ1-0600362 УПД;СФ1-0600362;;;0;772395,41;772395,41;0
01.12.2021;Накладная;01.11.2021;СФ1-0600363 УПД;СФ1-0600363;;;0;765061,95;765061,95;0
01.12.2021;Накладная;01.11.2021;СФ1-0600364 УПД;СФ1-0600364;;;0;772246,85;772246,85;0
01.12.2021;Накладная;01.11.2021;СФ1-0600367 УПД;СФ1-0600367;;;0;780559,94;780559,94;0
01.12.2021;Накладная;01.11.2021;СФ1-0600368 УПД;СФ1-0600368;;;0;803588,99;803588,99;0
01.12.2021;Накладная;01.11.2021;СФ1-0600369 УПД;СФ1-0600369;;;0;815100,65;815100,65;0
01.12.2021;Накладная;01.11.2021;СФ1-0600370 УПД;СФ1-0600370;;;0;1006686,44;1006686,44;0
01.12.2021;Накладная;01.12.2021;СФ1-0600400 УПД;СФ1-0600400;;;0;562,66;562,66;0
01.12.2021;Накладная;01.12.2021;СФ1-0600424 УПД;СФ1-0600424;;;0;281,33;281,33;0
02.12.2021;Платеж;02.12.2021;86236;;;;512225,51;0;0;512225,51
02.12.2021;Платеж;02.12.2021;86237;;;;882817,46;0;0;882817,46
02.12.2021;Накладная;02.12.2021;СФ1-0600981 УПД;СФ1-0600981;;;0;318740,2;318740,2;0
02.12.2021;Накладная;02.12.2021;СФ1-0601135 УПД;СФ1-0601135;;;0;318638,14;318638,14;0
03.12.2021;Накладная;03.12.2021;СФ1-0601406 УПД;СФ1-0601406;;;0;313379,68;313379,68;0
03.12.2021;Накладная;03.12.2021;СФ1-0601423 УПД;СФ1-0601423;;;0;1954411,91;1954411,91;0
03.12.2021;Накладная;03.12.2021;СФ1-0601467 УПД;СФ1-0601467;;;0;313993,03;313993,03;0
03.12.2021;Накладная;03.12.2021;СФ1-0601489 УПД;СФ1-0601489;;;0;30318,76;30318,76;0
03.12.2021;Накладная;03.12.2021;СФ1-0601490 УПД;СФ1-0601490;;;0;388521,17;388521,17;0
06.12.2021;Накладная;06.12.2021;СФ1-0601660 УПД;СФ1-0601660;;;0;372942,59;372942,59;0
06.12.2021;Накладная;06.12.2021;СФ1-0601668 УПД;СФ1-0601668;;;0;4050,96;4050,96;0
06.12.2021;Накладная;06.12.2021;СФ1-0601677 УПД;СФ1-0601677;;;0;36160,04;36160,04;0
06.12.2021;Накладная;06.12.2021;СФ1-0601693 УПД;СФ1-0601693;;;0;43540,1;43540,1;0
06.12.2021;Накладная;06.12.2021;СФ1-0601701 УПД;СФ1-0601701;;;0;95200,18;95200,18;0
06.12.2021;Накладная;06.12.2021;СФ1-0601747 УПД;СФ1-0601747;;;0;224975,72;224975,72;0
06.12.2021;Накладная;06.12.2021;СФ1-0601954 УПД;СФ1-0601954;;;0;84089,96;84089,96;0
06.12.2021;Накладная;06.12.2021;СФ1-0601974 УПД;СФ1-0601974;;;0;3300;3300;0
07.12.2021;Платеж;07.12.2021;87058;;;;320255,97;0;0;320255,97
07.12.2021;Платеж;07.12.2021;87059;;;;388363,02;0;0;388363,02
07.12.2021;Накладная;07.12.2021;СФ1-0602331 УПД;СФ1-0602331;;;0;360825,34;360825,34;0
07.12.2021;Накладная;07.12.2021;СФ1-0602336 УПД;СФ1-0602336;;;0;310955,56;310955,56;0
07.12.2021;Накладная;07.12.2021;СФ1-0602347 УПД;СФ1-0602347;;;0;301734,36;301734,36;0
07.12.2021;Накладная;07.12.2021;СФ1-0602413 УПД;СФ1-0602413;;;0;351657,92;351657,92;0
07.12.2021;Накладная;07.12.2021;СФ1-0602491 УПД;СФ1-0602491;;;0;231206;231206;0
07.12.2021;Накладная;07.12.2021;СФ1-0602506 УПД;СФ1-0602506;;;0;525704;525704;0
08.12.2021;Накладная;08.12.2021;СФ1-0602888 УПД;СФ1-0602888;;;0;303667,07;303667,07;0
08.12.2021;Накладная;08.12.2021;СФ1-0603112 УПД;СФ1-0603112;;;0;184365,35;184365,35;0
08.12.2021;Накладная;08.12.2021;СФ1-0603114 УПД;СФ1-0603114;;;0;312794,02;312794,02;0
08.12.2021;Накладная;08.12.2021;СФ1-0603117 УПД;СФ1-0603117;;;0;15981,54;15981,54;0
08.12.2021;Накладная;08.12.2021;СФ1-0603118 УПД;СФ1-0603118;;;0;403755,54;403755,54;0
09.12.2021;Платеж;09.12.2021;87841;;;;900000;0;0;900000
09.12.2021;Накладная;09.12.2021;СФ1-0603513 УПД;СФ1-0603513;;;0;302547,63;302547,63;0
10.12.2021;Накладная;10.12.2021;СФ1-0604044 УПД;СФ1-0604044;;;0;13042,68;13042,68;0
10.12.2021;Накладная;10.12.2021;СФ1-0604047 УПД;СФ1-0604047;;;0;508550,98;508550,98;0
10.12.2021;Накладная;10.12.2021;СФ1-0604117 УПД;СФ1-0604117;;;0;123068,57;123068,57;0
10.12.2021;Накладная;10.12.2021;СФ1-0604119 УПД;СФ1-0604119;;;0;10565,16;10565,16;0
13.12.2021;Накладная;13.12.2021;СФ1-0604263 УПД;СФ1-0604263;;;0;1140,36;1140,36;0
14.12.2021;Платеж;14.12.2021;89592;;;;1387445,92;0;0;1387445,92
14.12.2021;Платеж;14.12.2021;89593;;;;2367572,59;0;0;2367572,59
14.12.2021;Платеж;14.12.2021;89594;;;;373310,73;0;0;373310,73
14.12.2021;Накладная;14.12.2021;СФ1-0605278 УПД;СФ1-0605278;;;0;292712,87;292712,87;0
15.12.2021;Накладная;15.12.2021;СФ1-0605587 УПД;СФ1-0605587;;;0;292243,43;292243,43;0
16.12.2021;Платеж;16.12.2021;89842;;;;3000000;0;0;3000000
17.12.2021;Накладная;17.12.2021;СФ1-0606875 УПД;СФ1-0606875;;;0;836186,75;836186,75;0
17.12.2021;Накладная;17.12.2021;СФ1-0606876 УПД;СФ1-0606876;;;0;844905,02;844905,02;0
17.12.2021;Накладная;17.12.2021;СФ1-0606878 УПД;СФ1-0606878;;;0;838401,25;838401,25;0
17.12.2021;Накладная;17.12.2021;СФ1-0606881 УПД;СФ1-0606881;;;0;838227,71;838227,71;0
17.12.2021;Накладная;17.12.2021;СФ1-0606923 УПД;СФ1-0606923;;;0;838732,18;838732,18;0
17.12.2021;Накладная;17.12.2021;СФ1-0606925 УПД;СФ1-0606925;;;0;842386,54;842386,54;0
17.12.2021;Накладная;17.12.2021;СФ1-0606926 УПД;СФ1-0606926;;;0;849925,93;849925,93;0
17.12.2021;Накладная;17.12.2021;СФ1-0606928 УПД;СФ1-0606928;;;0;842341,05;842341,05;0
17.12.2021;Накладная;17.12.2021;СФ1-0606930 УПД;СФ1-0606930;;;0;900631,49;900631,49;0
17.12.2021;Накладная;17.12.2021;СФ1-0606931 УПД;СФ1-0606931;;;0;910904,73;910904,73;0
17.12.2021;Накладная;17.12.2021;СФ1-0606932 УПД;СФ1-0606932;;;0;1169820,19;1169820,19;0
27.12.2021;Накладная;27.12.2021;СФ1-0610639 УПД;СФ1-0610639;;;0;24213,96;24213,96;0
28.12.2021;Накладная;28.12.2021;СФ1-0610955 УПД;СФ1-0610955;;;0;49694,8;49694,8;0
30.12.2021;Платеж;30.12.2021;93629;;;;1000000;0;0;1000000
31.12.2021;Накладная;30.11.2021;СФ1-0600078 УПД;СФ1-0600078;;;0;144124,71;144124,71;0
31.12.2021;Накладная;30.11.2021;СФ1-0600081 УПД;СФ1-0600081;;;0;16711,2;16711,2;0
31.12.2021;Накладная;30.11.2021;СФ1-0600083 УПД;СФ1-0600083;;;0;31005,06;31005,06;0
31.12.2021;Накладная;06.12.2021;СФ1-0602056 УПД;СФ1-0602056;;;0;184056,23;184056,23;0
31.12.2021;Накладная;06.12.2021;СФ1-0602057 УПД;СФ1-0602057;;;0;16468,24;16468,24;0
31.12.2021;Накладная;06.12.2021;СФ1-0602059 УПД;СФ1-0602059;;;0;344828,52;344828,52;0
31.12.2021;Накладная;06.12.2021;СФ1-0602060 УПД;СФ1-0602060;;;0;333991,28;333991,28;0
31.12.2021;Накладная;07.12.2021;СФ1-0602505 УПД;СФ1-0602505;;;0;36665,61;36665,61;0
31.12.2021;Накладная;08.12.2021;СФ1-0603144 УПД;СФ1-0603144;;;0;587932,38;587932,38;0
31.12.2021;Накладная;09.12.2021;СФ1-0603587 УПД;СФ1-0603587;;;0;171453,67;171453,67;0
31.12.2021;Накладная;09.12.2021;СФ1-0603591 УПД;СФ1-0603591;;;0;299272,75;299272,75;0
31.12.2021;Накладная;09.12.2021;СФ1-0603595 УПД;СФ1-0603595;;;0;399313,79;399313,79;0
31.12.2021;Накладная;09.12.2021;СФ1-0603682 УПД;СФ1-0603682;;;0;176087,81;176087,81;0
31.12.2021;Накладная;09.12.2021;СФ1-0603686 УПД;СФ1-0603686;;;0;31824,32;31824,32;0
31.12.2021;Накладная;09.12.2021;СФ1-0603687 УПД;СФ1-0603687;;;0;479193,89;479193,89;0
31.12.2021;Накладная;09.12.2021;СФ1-0603688 УПД;СФ1-0603688;;;0;386550,52;386550,52;0
31.12.2021;Накладная;09.12.2021;СФ1-0603692 УПД;СФ1-0603692;;;0;1052392;1052392;0
31.12.2021;Накладная;15.12.2021;СФ1-0605847 УПД;СФ1-0605847;;;0;702806,2;702806,2;0
31.12.2021;Накладная;17.12.2021;СФ1-0606963 УПД;СФ1-0606963;;;0;1094017,4;1094017,4;0
31.12.2021;Накладная;22.12.2021;СФ1-0609032 УПД;СФ1-0609032;;;0;644588;644588;0
